date,crude oil,h2o,gas part,Fuel,Electricity,Temperature
01/01/2024,27106.93548,38436.74194,61.12903226,2.474662715,1652.87,21.13870968
01/02/2024,27851.28571,41114.25,64.96428571,2.463161391,1730.01,20.65
01/03/2024,26972.58065,40069.80645,67.5483871,2.407725439,1845.29,22.80645161
01/04/2024,27844.3,39993.03333,62.93333333,2.136002786,"1,834",27.85666667
01/05/2024,28044.06452,37916.77419,73.38709677,2.188694464,1933.93,33.09354839
01/06/2024,24787.9,35198.86667,62.13333333,2.117026791,"1,950",36.86333333
01/07/2024,25558.16129,44198.51613,67,1.997079668,"2,235",38.68709677
01/08/2024,26126.87097,42557.45161,59.77419355,2.166671865,"2,354",36.49354839
01/09/2024,25422.6,40442.43333,57.26666667,2.169182742,1974.336,34.80333333
01/10/2024,23667.06452,40761.83871,48.4516129,1.886541591,1959.864,31.32903226
01/11/2024,25901.13333,41427,49.83333333,2.146264508,1527.993,26.64333333
01/12/2024,26776.45161,43995.32258,47.67741935,2.296204424,2036.047,20.52580645
